Age,Annual_Income,Spending_Score
27,9.304315114089992,3.157751986220201
27,-9.058560383277111,11.069042389136381
26,-8.868944688753297,5.0803869867841245
30,-12.458538610379321,3.804863479557315
26,-8.3530390835118,-4.756104350723385
23,-5.011393178343115,-5.354183929692285
22,4.158976424275295,2.7270380397747633
28,-10.015923520681817,7.903647758892794
21,3.9782367531332112,8.77359260041478
22,-4.84747189405387,-5.306037488466917
27,-9.196953370096477,-7.028922983430447
23,5.208528672738425,5.241026569646802
25,7.347506944166294,4.607674814027989
26,-8.093036060724028,-6.675424244810141
29,-11.942483657795288,-6.413973806352377
26,-8.95211471845645,-8.28056219376837
20,-2.689222927003585,11.523118372928382
28,-10.893878745552088,7.932740944228484
23,-5.163976715214987,-10.911899271250075
20,-2.91458515078789,-9.97464834034307
19,-1.5742366986196874,-4.29894644189808
26,-8.06699046905366,-8.513432674710227
26,-8.031531355790786,5.255445556617896
20,-2.3403771113329404,5.45241566266468
25,-7.133445328398601,6.547856024015063
22,-4.201502623817647,10.543476850300491
23,-5.386681566608507,9.953531174062501
25,-7.259089928740228,-5.409316577064505
19,-1.9870386355408618,4.1151108184988825
19,1.5475020590328965,-1.327971848769959
28,-10.678052106036304,-8.090694775441575
19,-1.0929807744674989,-11.548272574755316
31,-13.121164079363204,10.708203850912234
28,-10.90207074861729,6.52005831136622
19,-1.6057086092817152,12.859377544363245
22,4.8890072489472045,0.7144805486502339
25,-7.805999120946949,5.914211533488766
24,6.107021570728778,7.449308748465678
26,-8.225911328864203,6.056164977070878
20,-2.2797956817139946,4.04536384169609
27,-9.88036820879071,-7.716362682878318
22,-4.530431630285719,7.7598935192369805
27,-9.333398818771148,-5.724850907617769
20,-2.798598931322182,-10.455463038177529
28,-10.88387946471969,12.554491104712355
24,6.204047205640617,-0.1697242070999745
20,2.4160927621642934,-0.06635602847286393
24,-6.705121978676223,-7.843393585430347
19,1.1957054163353735,-0.3713929158470748
18,-0.22069232879756484,9.836163902347533
21,-3.3638204235918296,5.302777202110825
21,-3.870154434365707,9.291592602472987
23,-5.8897274548327925,6.150583785236941
24,6.617458703835719,-0.30029895304611554
24,-6.205502598971319,7.21467560721155
22,-4.013464153626242,13.644981589470666
19,-1.5470437545106037,-11.760329092082202
25,-7.5110475696341705,-9.99956754818807
22,-4.264330357746131,8.1951307617039
19,1.66162009322148,3.6145537055253065
24,-6.4622681611708845,5.881263776342696
20,2.3413182506435937,5.848005696484581
22,-4.630627502568143,-6.111860791084423
26,-8.885868276392733,4.817199503904181
24,-6.657526164834315,7.781877929844582
24,-6.381977952217595,-8.380651786172933
19,1.9841195519128392,3.157150760528686
18,-0.4528353427947778,5.9621770032707655
24,-6.400528423091632,6.955879461743357
18,-0.663031173064224,9.442706831173247
19,-1.6989876995657627,8.05158042715753
26,-8.278096552109968,7.355003917453191
22,-4.779257811855778,5.483526874860093
26,-8.53409335307224,-4.749026256285386
26,8.146864613568349,-1.53145797303997
23,-5.592039023129621,-5.595644715995425
19,1.9626475910753207,3.179350722048695
21,-3.6828835878901307,10.370686237163234
23,-5.59200797538615,2.751719133360856
21,-3.707133217665975,8.550138686538778
20,-2.542940684897585,6.37000880580857
23,5.175113196553611,-1.1411772628392383
32,-14.982795541323952,-9.44107869661167
26,-8.027911875414905,6.998165279579491
26,-8.595837844154214,8.811415479090988
25,-7.470584303710916,6.818041284413968
26,-8.825218507340553,7.440974399910559
20,-2.291579952457322,8.266767752033653
22,4.7854006323431015,-0.8842560606358258
27,-9.382530764704061,10.070465045466678
24,-6.765697591391736,-8.50911046229049
24,-6.047624478178786,7.962672821284924
18,0.7632202585627699,2.1445771209558004
22,4.553099411964993,-0.9485254101080982
22,4.6723835659228685,5.607004876834024
28,-10.6344383097671,6.789905036219085
22,-4.607241431109347,8.241255188570285
23,5.266110962092792,2.839290207683171
23,-5.770078620785699,-4.943524459702605
21,-3.489468005883144,5.355498757868025
23,-5.574630738750187,7.376032519580601
27,-9.96349143533412,8.88064774636745
21,-3.365983914369674,7.008592955144274
25,-7.3999328170444585,-8.112611929923029
19,-1.76889693039131,9.666924308648046
22,4.081221872913474,3.7581709191709622
25,-7.539961471033079,11.155370198005148
25,-7.667800302752134,-4.982686542042778
21,-3.971717810763871,-6.854526940726979
30,-12.824396903621928,5.825085358114271
23,5.28958582184916,3.9277268633840077
23,-5.617158993700127,-4.715721607850643
19,-1.6501518991315967,4.606685739791486
25,-7.112967777358229,6.320471735784112
21,-3.833598132470347,10.297454710981711
32,-14.148067067410528,6.009135361296801
23,-5.210468737148406,9.72169998071172
24,-6.821492204335332,7.60856730509589
21,-3.660794550452219,11.65709169374561
20,-2.7983183290233513,8.261526889225099
21,-3.4553716128571192,5.405154008278579
20,-2.465991590448528,-5.867655315873558
20,2.1635380234013804,0.5574253599338022
26,-8.648816361151695,5.630618636718424
25,-7.9839378171931115,12.01395001353842
21,3.5235914560605486,4.114166669749412
19,-1.6810390445438403,11.45314894600422
24,6.673671879652275,-1.103991107144156
20,2.4302352457252687,2.357482448804552
18,0.06830118318712719,11.342486425988819
22,-4.494622782418264,-5.251631465011451
24,-6.931881176061641,-6.586791135003992
19,1.1549242992511348,8.449845376981983
26,-8.777052320988654,8.568518643612327
28,-10.93763236208795,5.825041301888648
25,7.048319159338906,3.0051220012819777
24,-6.718927143412613,-9.574471538099212
19,-1.5197669678379562,-5.295312037480919
20,-2.2665037496826494,11.435898604530545
21,-3.7123493181847134,-8.6492832573229
18,-0.15704920201950223,1.9068849953176898
23,-5.041275423888809,9.799904459686505
30,-12.138910774187616,11.902169830134588
18,0.6211707498250325,2.4347543302714927
22,4.447124562692841,2.826049620982342
23,-5.829662745298826,9.50643921787113
20,2.9398170322818746,2.5538039268432406
24,-6.694178698630962,6.923676590590135
24,-6.59583382802315,-5.22478290697333
25,-7.97973840789373,-6.553258150060718
23,-5.275035058067821,6.023769567996645
26,-8.884610596616985,6.601876318198357
24,6.695029236214326,6.715152140575601
27,-9.124677369767555,10.418063695432357
26,-8.8116902274952,-7.472156110125969
23,-5.943050572885841,9.302679650406043
29,-11.353371210385266,4.288051383529373
23,5.283754813035012,1.787054894525314
23,5.8229728976619635,1.7910974022985502
25,7.536367783746611,-0.07853611193854437
18,-0.47788306706725514,12.404886199625379
22,4.026408546220925,0.08882927304700816
23,5.534347237098809,3.3751309998613177
27,-9.110228127778154,8.327802220746056
21,-3.05837734264653,9.907067556977687
23,-5.4524009144183525,-4.04119549282445
